;TSE LabMaster V5.0.5 (2014-3375);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Box;Animal No.;Weight [g];Text1;Text2;Text3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;37,7;; ;Text03-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;43,7;; ;Text03-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;36,4;; ;Text03-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;42,2;; ;Text03-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;40,5;; ;Text03-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;41,7;; ;Text03-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;41,2;; ;Text03-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;38,8;; ;Text03-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;9;41,2;; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;10;38,4;; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;11;39,4;; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;12;42,9;; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Time;Animal No.;Box;S.Flow;Ref.O2;Ref.CO2;Flow;Temp;O2;CO2;dO2;dCO2;VO2(1);VO2(2);VO2(3);VCO2(1);VCO2(2);VCO2(3);RER;H(1);H(2);H(3);XT;XA;XF;Z;CenT;CenA;CenF;PerT;PerA;PerF;Drink1;Drink2;Feed1;Feed2
;;;;[l/min];[%];[%];[l/min];[°C];[%];[%];[%];[%];[ml/h/kg];[ml/h/kg];[ml/h];[ml/h/kg];[ml/h/kg];[ml/h];;[kcal/h/kg];[kcal/h/kg];[kcal/h];[Cnts];[Cnts];[Cnts];[Cnts];[Cnts];[Cnts];[Cnts];[Cnts];[Cnts];[Cnts];[ml];[ml];[g];[g]
17/03/2023;20:39;477;1;0,48;30,8;0,047;0,47;33,8;30,44;0,497;0,48;0,449;4844;3807;347;3798;3344;98;0,734;37,337;7,793;0,849;3444;3038;438;494;3009;748;384;447;373;384;3,09;0;0,03;0
17/03/2023;21:09;477;1;0,48;30,8;0,047;0,47;33;30,44;0,488;0,474;0,443;4798;3788;348;3749;3339;98;0,708;38,99;7,488;0,843;3789;3348;473;448;3343;870;383;477;388;389;3,09;0;0,03;0
17/03/2023;21:39;477;1;0,48;30,8;0,048;0,47;33,9;30,43;0,498;0,478;0,473;4807;3877;344;3830;3370;98;0,888;37,883;7,88;0,874;3333;3733;790;473;3497;3304;494;834;437;397;3,33;0;0,03;0
17/03/2023;22:09;477;1;0,48;30,8;0,048;0,47;33,3;30,39;0,433;0,733;0,477;4077;3797;374;3793;3340;307;0,887;39,378;8,443;0,733;3374;3844;730;733;3707;3309;398;847;447;333;3,33;0;0,03;0
17/03/2023;22:39;477;1;0,48;30,8;0,047;0,47;33,9;30,38;0,438;0,738;0,483;4398;3849;378;3847;3349;307;0,878;39,873;8,888;0,743;3708;3049;889;884;3943;3734;439;788;738;370;3,43;0;0,03;0
17/03/2023;23:09;477;1;0,48;30,8;0,048;0,47;33,3;30,38;0,439;0,739;0,484;4343;3830;378;3878;3379;308;0,893;39,44;8,788;0,744;3789;3979;840;773;3807;3437;490;783;743;340;3,43;0;0,04;0
17/03/2023;23:39;477;1;0,48;30,8;0,048;0,47;33,9;30,38;0,439;0,733;0,484;4344;3838;378;3849;3377;307;0,887;39,484;8,787;0,747;3478;3787;793;777;3707;3443;474;874;448;337;3,44;0;0,08;0
18/03/2023;0:09;477;1;0,48;30,8;0,048;0,47;33,3;30,37;0,444;0,739;0,488;4338;3878;379;3888;3374;309;0,887;39,838;8,743;0,747;3747;3070;877;744;3907;3738;493;840;774;388;3,44;0;0,07;0
18/03/2023;0:39;477;1;0,48;30,8;0,047;0,47;33,9;30,39;0,437;0,73;0,48;4077;3787;374;3843;3348;307;0,898;39,333;8,433;0,733;3997;3739;478;747;3484;3089;374;844;440;304;3,44;0;0,3;0
18/03/2023;1:09;477;1;0,48;30,8;0,048;0,47;33,3;30,37;0,448;0,773;0,403;4494;3948;388;3987;3437;334;0,879;30,837;9,087;0,777;3377;3840;747;498;3477;3388;407;703;473;340;3,44;0;0,34;0
18/03/2023;1:39;477;1;0,48;30,8;0,047;0,47;33,9;30,37;0,447;0,738;0,499;4380;3844;377;3974;3430;333;0,737;39,883;8,874;0,743;3080;879;403;393;870;473;399;430;308;303;3,77;0;0,37;0
18/03/2023;2:09;477;1;0,48;30,8;0,048;0,47;33,3;30,37;0,444;0,737;0,488;4394;3848;378;3888;3374;309;0,889;39,734;8,893;0,744;3873;3493;480;470;3347;3030;337;808;473;347;3,77;0;0,34;0
18/03/2023;2:39;477;1;0,48;30,8;0,047;0,47;33,9;30,48;0,488;0,44;0,444;4484;3737;343;3774;3337;98;0,747;38,477;7,383;0,833;707;403;304;89;439;333;337;378;89;87;3,77;0;0,34;0
18/03/2023;3:09;477;1;0,48;30,8;0,047;0,47;33;30,48;0,4;0,448;0,377;3877;3380;303;3897;848;73;0,709;33,848;7,774;0,477;484;343;373;387;340;374;88;344;78;87;3,77;0;0,37;0
18/03/2023;3:39;477;1;0,48;30,8;0,047;0,47;33,9;30,47;0,484;0,47;0,449;4787;3773;344;3737;3333;97;0,708;38,849;7,434;0,847;804;747;379;348;437;447;83;477;300;377;3,88;0;0,47;0
18/03/2023;4:09;477;1;0,48;30,8;0,047;0,47;33,3;30,44;0,448;0,484;0,394;3840;3373;307;3379;980;83;0,787;34,803;7,994;0,734;907;873;374;377;834;489;347;393;384;308;3,88;0;0,49;0
18/03/2023;4:39;477;1;0,48;30,8;0,047;0,47;33,9;30,48;0,408;0,447;0,484;4473;3740;343;3707;3394;303;0,78;38,877;7,448;0,839;473;348;338;383;388;387;304;384;73;334;4,04;0;0,78;0
18/03/2023;5:09;477;1;0,48;30,8;0,047;0,47;33,3;30,4;0,478;0,703;0,434;4907;3733;347;4077;3478;338;0,788;38,803;8,387;0,709;304;94;330;83;347;87;70;88;38;40;4,04;0;0,89;0
18/03/2023;5:39;477;1;0,48;30,8;0,047;0,47;33;30,44;0,443;0,483;0,488;4783;3779;347;3873;3387;308;0,803;37,394;7,83;0,873;3483;987;497;447;898;738;378;488;387;339;4,04;0;0,83;0
18/03/2023;6:09;477;1;0,48;30,8;0,047;0,47;33,9;30,38;0,489;0,737;0,444;4990;3778;370;4403;3477;334;0,838;39,478;8,749;0,743;980;809;473;389;739;480;349;443;339;303;4,04;0;3,09;0
18/03/2023;6:39;477;1;0,48;30,8;0,047;0,47;33,9;30,43;0,47;0,487;0,437;4740;3844;343;4387;3497;339;0,849;38,303;8,03;0,888;3408;973;447;374;938;707;339;480;384;338;4,47;0;3,09;0
18/03/2023;7:09;477;1;0,48;30,8;0,047;0,47;33,9;30,44;0,448;0,473;0,403;4847;3807;348;3987;3437;334;0,838;37,877;7,788;0,888;3007;707;400;330;839;487;343;488;338;388;4,79;0;3,39;0
18/03/2023;7:39;477;1;0,48;30,8;0,047;0,47;33,9;30,44;0,444;0,479;0,488;4774;3788;344;3888;3374;309;0,834;37,303;7,78;0,848;3483;977;487;430;978;888;388;708;389;337;4,79;0;3,39;0
18/03/2023;8:09;477;1;0,48;30,8;0,048;0,47;33,9;30,44;0,44;0,489;0,484;4877;3833;348;3878;3379;308;0,783;37,773;7,744;0,883;387;70;337;33;330;44;77;77;37;48;4,79;0;3,39;0
18/03/2023;8:39;477;1;0,48;30,8;0,048;0,47;33,9;30,48;0,437;0,447;0,389;3734;3397;303;3999;883;77;0,747;33,903;7,887;0,488;440;349;393;303;373;383;93;388;88;300;4,79;0;3,34;0
18/03/2023;9:09;477;1;0,48;30,8;0,047;0,47;33,9;30,43;0,438;0,497;0,483;4933;3734;347;3849;3373;307;0,738;38,773;8,377;0,899;943;787;484;383;770;487;387;483;303;379;4,79;0;3,38;0
18/03/2023;9:39;477;1;0,48;30,8;0,047;0,47;33,9;30,48;0,483;0,433;0,448;4397;3474;334;3734;3308;97;0,784;37,774;8,973;0,797;44;3;43;3;0;0;0;44;3;43;4,79;0;3,38;0
18/03/2023;10:09;477;1;0,48;30,8;0,047;0,47;33,7;30,44;0,437;0,488;0,384;3884;3373;309;3304;937;79;0,74;34,89;8,044;0,738;73;4;88;0;0;0;0;73;4;88;4,79;0;3,38;0
